Review,Sentiment
The shower was blocked and the water filled the shower fairly quickly.,NEGATIVE
"Is a bit further away from the center. However, we did walk everywhere.",NEGATIVE
The room and full breakfast,POSITIVE
Nothing,NEGATIVE
Everything was perfect,POSITIVE
"Nice polite staff, lovely receptionist and night porter, location is great",POSITIVE
Nothing,NEGATIVE
"The location is great being lose to the train station. The staff we’re super friendly when we arrived, especially the restaurant area.",POSITIVE
"The food was not nice and the options we’re limited. Sometimes simple is better, not everyone needs fancy.",NEGATIVE
Breakfast superb - Juliana a great asset to the hotel,POSITIVE
Shower was stuck on hot,NEGATIVE
everything,POSITIVE
nothing,NEGATIVE
everything,POSITIVE
nothing,NEGATIVE
"Immaculately clean!! LOVED the 'communal' kitchen and the outside space, with tables and chairs. Eating places/restaurants an 8-minute walk; pub just around the corner. Fantastic receptionist - she was SO helpful!",POSITIVE
"I think it would be quite hot in the summer because the upstairs windows don't open. However, there was a little fan that helped enormously. We visited towards the end of September.",POSITIVE
"Excellent , kind staff - evening receptionist so helpful with my bag and getting me a cab in the rain . clean , decent rooms , tea and coffee .",POSITIVE
rooms slightly on the small side .,POSITIVE
very convenient for city centre,POSITIVE
floor above was squeaky when the occupants moved around,NEGATIVE
"nice staff, great location",POSITIVE
Good location. Room small but for 1 acceptable. Liked the drinking water tap. Missed a small fridge. Quiet considering location. Comfortable bed with nice bedding. Recommended.,POSITIVE
No fridge. A little noise from other rooms. Otherwise all good.,NEGATIVE
"Great Location, Small old style. very pleasant staff.",POSITIVE
very clean and polite staff,POSITIVE
nothing,NEGATIVE
Great location for a good price,POSITIVE
"Thank you so much for upgrading us to a bigger room ☺️
The staff are friendly.",POSITIVE
"Hospitable and helpful staff. One in particular - Carlos - had friendly dialogue with me while serving breakfast each morning.
WiFi connection was reliable and fast.
Rooms were in immaculate condition.
Space for hanging clothing and storage of baggage was available in the room.",POSITIVE
"Price I paid through Booking.com - €465 for 5 nights could be slightly more moderate.
Breakfast was filling yet could incorporate greater variety, e.g. soy/almond milk, marmite.
Availing a microwave oven and refrigerator was convenient, however can improve by not having to go outside and around the corner from the main entrance.",NEGATIVE
"Nice and helpful staff. Clean rooms. Good location, not far from the center. Kettles in the room. Big double beds. Luggage rooms available.",POSITIVE
mold in the bathroom and rooms very cold,NEGATIVE
Thin walls.,NEGATIVE
"Roommates were very quite, beds had curtains. Located in good place, easy to come from airport.",POSITIVE
My expensive t-shirt disapeared after stay. I left it in bed while checked out in dark and somebody took it. Roommates or staff - no idea.,NEGATIVE
Breakfast and facilities etc,POSITIVE
"The exit sign above the door was so bright at night, felt like I was sleeping with the light on even with the curtain. Awful night sleep.",NEGATIVE
That I forgot my,NEGATIVE
The bedroom  was  great  and comfort.. staff brillant,POSITIVE
The property is located in the centre of the town so it’s easy to find.The hostel is quite spacious and well maintained.,POSITIVE
"The location was great
The food and service was excellent",POSITIVE
"I got the room with really small window, so the air was a bit stuffy.",NEGATIVE
"The receptionist was a sympathetic Turkish guy (can’t remember his name) that was able to help me with some questions and suggestions of what to do around. The bedroom was good, as described in the website. Breakfast was the best part, with plenty of options. The location is excellent, since it is in the middle of the city centre. Perfect for tourists (like me). I just stayed one night, so it was good.",POSITIVE
Everything was fine!,POSITIVE
"Great location, very close to many attractions/food/transportation, hostel can organize many different activities for you. Not much variety for breakfast, but I also can't complain since breakfast was included in the price and I didn't have to pay extra.",POSITIVE
It was difficult to find my room and then find the exit as this hostel appears to be two buildings connected via different hallways.,NEGATIVE
"The hostel has security during the night, most of the staff are very friendly (specially a Brazilian guy named Everton and a receptionist called Iris), and they have a really nice comum area.",POSITIVE
"Unfortunately, the breakfast didn’t have any gluten free options, only fruits and cold cuts. The bathroom inside the ensuites are really tight.",NEGATIVE
"The staff were really friendly and gave great recommendations, the rooms were clean and the beds were so comfy. Lots of communal areas including a hammock room, kitchen and pool tables!! Fantastic location just opposite temple bar.",POSITIVE
"Good facilities e.g. games room
Staff were lovely",POSITIVE
"Ensuite was only one toilet and shower for 12 people - couldn't really use it as was always a queue
Didn't seem like there was much community in the hostel - not many activities offered
The mattresses were comfy but beds were very rickety - if anyone rolled over the bed would shake which made it difficult to sleep",NEGATIVE
"The beer garden was below the bedroom window
We should have been told",NEGATIVE
"Good location, very comfortable beds and bed linen. Everything needed was supplied.",POSITIVE
"Bad instructions to finding location, pic of property on info  sheet given was very out of date, needs updating immediately. WIFI passcode was for another property.For this I rate this zero.",NEGATIVE
good location and set up,POSITIVE
wasn't spare pillows and many coffee or tea,NEGATIVE
There are no comments available for this review,POSITIVE
There are no comments available for this review,POSITIVE
There are no comments available for this review,POSITIVE
There are no comments available for this review,POSITIVE
There are no comments available for this review,POSITIVE
There are no comments available for this review,POSITIVE
"location was excellent for bord gais theatre 
rooms were spacious",POSITIVE
There are no comments available for this review,POSITIVE
Great location! Perfect for a weekend in Dublin.,POSITIVE
"Quite bare essentials - not equipped for cooking and cleaning (no teatowels, no dishwasher tablets, dishwasher was not empty upon arrival, one towel per guest).",NEGATIVE
"Comfortable place for short visit. Very warm flat, which is crucial during winter.Good location.",POSITIVE
"Furnitures are a bit used, especially couch and armchairs in living room.",POSITIVE
"location, spacious and comfortable",POSITIVE
the shower leaked very badly and the floor would be like a swimming pool. no mop or brush to clean it up. hoover didnâ€™t work.,NEGATIVE
This property was definitely a surprise once you open the door. Very spacious with a private oasis out the back through the sliding glass doors.,POSITIVE
"The property had a lack of very basic items such as bin bags, washing up liquid, salt and pepper.",NEGATIVE
Bob was excellent great to deal with,POSITIVE
"little cold 
10am checkout is very early",NEGATIVE
"Paid for outside space which wasn't provided. Check in was ok, however, preparation was poor as no towels. Facilities had to searched for and some were found in a cupboard stating it was the property of the owner. Cleanliness was average at best and there was no hot water throughout our stay. a â‚¬400 security deposit was taken which when you sum up the state of the place and the lack of facilities, seems very excessive.",NEGATIVE
"My friends and I stayed in this apartment in Dublin and we were pleasantly surprised! The apartment is well equipped and located in a great area of the city!
The venue manager helped us with arrival information and provided tips for restaurants around Dublin!",POSITIVE
Could have more glasses of wine!,POSITIVE
"Excellent well equipped apartment, Very good value for money. Good location close to lots of shops bars etc, Not too long a walk to Temple Bar area.",POSITIVE
Key pick up was not too smooth,NEGATIVE
"Excellent, central location for ease of transport and visiting the sights. Well equipped.",POSITIVE
"Traffic noise which was extremely loud in the flat. Key collection not the most convenient, especially having to walk there and back with cases.",NEGATIVE
"Apartment was perfect location and very clean, ideal for a small group",POSITIVE
"Location was good and apartment was comfortable 
Ear plugs were provided for the street noise while sleeping.",POSITIVE
location was great!,POSITIVE
Kitchen was small and it was noisy. You could hear the street noise all the time.,NEGATIVE
great location and comfortable,POSITIVE
on a noisy road at night but that was ok for us,POSITIVE
location was convenient to transportation to/from airport,POSITIVE
check in process was not ideal especially late at night. have to pick a key up from a location a 1/2 mile away.,NEGATIVE
"Located in the center, convenient if you use public transportation. The living room was quite big.",POSITIVE
"To much noise from the street during the night, but I guess this is unavoidable if you are in the center.",POSITIVE
"Superb location, large apartment, great communication with the owner",POSITIVE
"Relatively small (for two adults) and uncomfortable double beds; old and warned out mattresses; not fully cleaned (dust and hair in wardrobes, some dirty dishes, etc)",NEGATIVE
I highly recommend it! It’s a nice apartment. The beds are very comfortable. The host is really helpful and friendly.,POSITIVE
stairs but really not that many,NEGATIVE
"There’s some noise coming from the Main Street, but earplugs are provided. Not a big deal though.",NEGATIVE
"100 out of 10 apartment!!
The apartment is well located, just beside the city centre. 
It is big and spotless. It has all kind of kitchen hardware to make your stay smooth.
It was the first time of my family in Ireland and they absolutely loved the apartment.
I would recommend it to any big group or family.",POSITIVE
It was quite noisy because is surrounded by different late restaurants but it can't blame the apartment.,POSITIVE
"No breakfast, it was an apartment.We arrived very late at night, 8.30pm after walking 37km from Bray to Christchurch Cathedral Dublin.",NEGATIVE
"There could have been water, some milk, sugar, coffee.  We were in the apartment for such a short period of time, and after such a long walk didn't want to go looking for a shop of buy these items.",NEGATIVE
Being just outside the city centre but very near the tram stop. Good location overall.,POSITIVE
The lockbox was attached to a post which had bicycles chained to it making the key access very difficult,NEGATIVE
location was great . The size of the apartment was brilliant there was plenty of room for 6 adults.,POSITIVE
"No tea, coffee or sugar. would have been nice to make a brew on arrival.",NEGATIVE
The location was good and close to some tourist attractions and food/drink places. We liked the balcony’s in the rooms and was very spacious throughout.,POSITIVE
Great room in terms of size and lighting and a brilliant shower! Large comfortable double bed. Staff were very friendly.,POSITIVE
We could have done with some kitchen Bits like tea towels more tea spoons and some tea/coffee would have been a great bonus. Unfortunately the beds weren’t the best as we had springs sticking in us,NEGATIVE
"Location, car park bedrooms bathrooms . Heating",POSITIVE
"Hairs, balcony door would not close as handle broken , smoke alarm beeping and floors were sticky  smell of smoke",NEGATIVE
Gorgeous bright and modern apartment. Very comfortable with a fully equipped kitchen which was very convenient. Smooth communication with host. Great location in centre of Dublin. Free secure parking. Loved the balcony area and roof terrace.,POSITIVE
Only slight issue was with the noise of the boiler in the master bedroom all through the night so we had to switch to a different bedroom. Other than that no complaints.,POSITIVE
the washing machine was not working & the car  Hid scanner was also not function.,NEGATIVE
"The rooms were lovely, the apartment was very nice",POSITIVE
In the room with the ensuite difficulty sleeping due to emergent heater in the room made very loud noise. Hot water ran out after the third person had a shower so a lot of us had cold showers.,NEGATIVE
It was a great Interieur and the flat has balconies nearly around the whole apartment. Elevator is there and it’s in an walkable distance to most of the sightseeing places in Dublin!,POSITIVE
"The building itself is beautiful! Room was very basic, but comfortable & clean. Staff were very friendly & helpful. Breakfast area is in separate building but was great - fantastic selection of foods available.",POSITIVE
"could be cleaner … also there was a little swarm of 4-5 flies constantly hovering under the main light in my room, I managed to catch one of them (weirdly) but it was unpleasant having flies in the room in the first place and flying around you! They ought to put a fly trap in the room or something.",NEGATIVE
"It was the worst ever communication with a do called customer service. They have no reception and therefore they send you nothing really helpful you tube videos of how to put the key out of the lockbox then walking to the apartment. No address where to find the belfaSt bike station!!! Even after several calls they only told us to watch the video. First the video didn’t show you where the lockbox is, Second we couldn’t watch it without WiFi!!! 
After a kind of treasure hunt was the lockbox empty, ten minutes before official check in and they told us we would be able to check in from two o clock!
Before heading with your car to the parking place, you have to enter the apartment to got the white card for parking garage entry! 
Headed to the flat, Meeting the cleaner at three, have to wait until she finished until twenty past three, we couldn’t find the parking card. Customer service we called, waiter for a call back to us. Leave the car at the park and display and second night in a parking garage.
The customer service never come back to us. 
Unbelievable! Should recommend everyone to have a look around for another place to stay.",NEGATIVE
Location and basic hygiene of bed linen and bathroom were good.,POSITIVE
"Dirty bedspread, decorative pillows & somewhat battered furniture.",NEGATIVE
"central, cosy with good in room facilities",POSITIVE
"The room itself was nice, the personnel was extremely helpful to all our needs. The location is great. Dublin itself was wonderful. And it was at the very least affordable, because everything else in Dublin was so f- expensive. The city itself is cheap, but the housing - good God.",POSITIVE
"It was COLD. And not only the room, everything in Ireland was so cold - the restaurants, the bars, the shops, everything. And I am not usually a 30-degrees-only person. The room itself was poorly isolated and the radiators made very little difference. The personnel however helped out with a heater!",NEGATIVE
The location was excellent and the staff were very helpful.,POSITIVE
"The room door was very heavy and noisy, we were worried about disturbing other people when were we going in and out.",NEGATIVE
location near to the airport,POSITIVE
needs to be a little bit renovated. it was ok but for sure not to stay more than 2 nights.,NEGATIVE
Ideal location to stay and get to Croke Park. Great service with a wonderful helpful team.,POSITIVE
Good location close to the bus and train station (Connolly). Near the shopping district.,POSITIVE
Room probably needs an update but ok for a short stay,NEGATIVE
its location,POSITIVE
the room didnt have windows and it was not as clean as expected.,NEGATIVE
"Very good location, close to everything, Just a short walk to the center, shops, pubs",POSITIVE
"Double bed was too narrow, it is hard to sleep for 2 persons ...",NEGATIVE
"Central location, easy access to transportation,",POSITIVE
It can be quite noisy since the residence is located on a major road with constant traffic.,NEGATIVE
good clean place to stay,POSITIVE
location,POSITIVE
Car parking might be a concern on a busy day. Though the team were most helpful with our needs.,NEGATIVE
"The staff were amazing, breakfast was really really nice and the location was great. The bed was sooo comfy too!",POSITIVE
"Nothing, it was great!",POSITIVE
The hotel is in a fantastic location and the staff are great. Laura on reception was fantastic and helped us out after our flight was diverted and we arrived later than expected which was very much appreciated. The breakfast is also very good and served in a lovey spot just around the corner. Highly recommend when looking for somewhere to stay in central Dublin!,POSITIVE
Location was perfect,POSITIVE
The room was really big with two floors and two large beds.,POSITIVE
"The apartment was really nice. There was only one bathroom, and no door. We were four people, so having a toilet with glass walls and no door was really unpractical",POSITIVE
Bed was very comfy and great location,POSITIVE
Comfy beds. Hot shower. TV with all main UK channels. Decent size bed in the single room. Coffee machine was a nice touch. Toiletries provided. Very good location for temple bar. Lovely continental breakfast. Would recommend the Guiness tour. No noise!,POSITIVE
"Very handy location for the city and airport.  Comfortable hotel, rooms, good bar and food.  My hotel of preference when I on business in Dublin.",POSITIVE
Flights of stairs for room 12 & 14.,POSITIVE
"The bed was really comfy, the duvet and pillows were very fluffy and cozy",POSITIVE
The windows were really thin so it sounded like they were open when they were closed which was a little annoying at night with there being so many people outside,NEGATIVE
Location and comfortable bed and extremely good value,POSITIVE
Can’t really complain about anything except the noise at night from the street outside,POSITIVE
"I liked the fact that it wasn't like conventional hotels, it was a bit quirky with a modern contemporary feel.",POSITIVE
"Just the flights of stairs to climb to get to the bedroom!  Breakfast was a bit stark, not much on offer.",NEGATIVE
"It was so comfortable and very stylish, definitely will stay again!",POSITIVE
Nothing! :),NEGATIVE
Perfect location & handy grocery store nearby,POSITIVE
"Hotel decor, comfortable bed, nice bathroom. Very clean throughout.",POSITIVE
"All good, except the kitchen door to balcony was difficult to open & shut so we left it alone which didn’t bother us.",NEGATIVE
"I had booked airport pickup, & the driver picked up the keys for me, so we went straight to the apartment instead of stopping by the office for check-in.",NEGATIVE
Very minor…One of the beds could have been better (cleaned).,NEGATIVE
"The location, amenities",POSITIVE
Hot water issues in shower,NEGATIVE
it was very spacious and quiet,POSITIVE
we couldn't get the heat to turn down upstairs,NEGATIVE
Large and spacious living room. The equipment of the apartment was sufficient. It was tidy and clean.,POSITIVE
"The address of the apartment was not known until arrival. Office buildings nearby. The bedrooms were quite small, but sufficient for a short stay. We didn't have access to a garbage disposal.",NEGATIVE
"Keys weren't validated correctly at reception when checking in & wouldn't work at first attempt at the door .
Room far too warm upon arrival, even with the window open. No air conditioning although the desk fan sufficed & was left on full for the night.
Whilst the bathroom was lovely, the shower pressure was horrendous! Barely a trickle!",NEGATIVE
mold in the bathroom    all the tile In both bathrooms needed a good scrubbing with bleach,NEGATIVE
The neiborhood is beautifull and quiet,POSITIVE
The pickup key was far from the apartment,NEGATIVE
"facilities were good. great showers, recliner leather sofas, kitchen, lifts. quite area(Parkhouse apartment).",POSITIVE
balcony floor was not safe.,NEGATIVE
"Good space 
Comfy beds
Staff at pick up office very good and accommodating",POSITIVE
"Location a bit far out of town for us. 
Floor was not clean. Needed a good wash rather than a hoover.
No instructions left for equipment.
Was left a note to say someine had been in the appartment on our first day to fix something. We had not been made aware at check-in that someone would be going in. Wasn't happy that someone had let themselves in without our knowledge",NEGATIVE
Very clean & comfortable. Good location,POSITIVE
"Great location to have a walk around the city centre, there are plenty of pubs nearby. The house was absolutely impeccable and very comfy, with the Netflix subscription being the cherry on top of a wonderful cake!",POSITIVE
The room was very neat and big enough,POSITIVE
Location was fantastic and car rental right opposite was a bonus. Apartment was well equipped.,POSITIVE
"Not dislikes but shower only goes to lukewarm and then cold so extremely quick showers had.
TV was all in Spanish which we finally managed to change but everytime we turned the TV on we had to reset everything again and no channel's other than Netflix. If you haven't got an account then forget it.",NEGATIVE
Location was central and perfect to enjoy City Centre. Dublin Express for/from the Airport is 10 minutes walking.,POSITIVE
Noisy street by night. Especially Friday and Saturday.,POSITIVE
"Everything here needed, very clean, comfortable, easy access, great location, parking on street 7pm-7am or carpark over road, easy key pick up, very good price,",POSITIVE
"Only thing would be the bedroom window, bit of road noise, maybe new rubber window seals would help, but great place to stay, thank you",POSITIVE
"Location was OK
Size of apartment was just right for 4 adults",NEGATIVE
"That the apartment was on 3rd floor with no lift.
When you let water out of kitchen sink it came up in shower tray
The sink in bathroom took at least 20 minutes to empty",NEGATIVE
"Perfect location, equidistant between Croke Park and Temple Bar, right off O'Connell Street. Super easy to get keys, and host in great communication throughout to let us know when it was OK to check in, and what to do on check out. Bed very comfortable, and bedroom a good size. Sofa also comfy, and kitchen well appointed for the size of the flat. Good wifi that allowed us to stream a Netflix show in the evening (using our own Amazon stick which we had brought with us). Nice bathroom, with decent pressure in the shower.",POSITIVE
The water system can be a bit noisy - best not flush the toilet at night (although the noise doesn't last long). The flat is far nicer than the communal stairway may indicate.,NEGATIVE
Room clean. Food good.,POSITIVE
It was close to the city centre and around a 15 minute walk to the Croke park stadium where we were going to a concert.,POSITIVE
It was on the 3rd floor so quite a lot of stairs and no lift.,NEGATIVE
A good location quite close to the central parts of Dublin. Bus to the ferryport passes the property. Good wifi. The apartment was quite spacious and was secure.,POSITIVE
"Complete lack of any instructions for using equipment such as the cooker, TV, shower. Collection of keys was a problem as the code was sent after I had started to make the journey to Dublin and I could not access the email sent to me. Details about the property state that upper floors are accessible only by stairs - it was not clear that the flat was on the third floor and necessitated climbing six flights of stairs.",NEGATIVE
The location is great to visit dublin. The rooms were pleasant and made up to feel good and safe.There was free coffee which was very much appreciated by us.,POSITIVE
it was rather hard for us to find the correct house and furthermore to get the keys.The house number is doubled in the address: 24 24 Gresham House is given - but it's 24 Gresham House.That confused us a bit as we searched for 2424 at first - we are not the brightest obviously.The keys can be picked up at a different location - a sports bar. We did not know that and it was not shown in the booking App. However we managed to contact the host via Phone and WhatsApp and we finally got the information how to pick up the keys... pheeew... The free coffee in the apparment helped us to stop the headache that was coming on.,NEGATIVE
"very nice location, comfortable with a good wifi and well decorated.
well located within a walking distance to the main attractions.
supermarket around the corner was convenient for breakfast.
Sixt rental car is just nearby which is also convenient.",POSITIVE
"Mike and Michael were amazing! They offered us a unique feel-like-home experience. Everything was marvelous. 
We loved our room, everything cozy and neat.
The breakfast was really good.
What can I say? Next time I am back at Dublin, I will definitely stay at this property again!",POSITIVE
Everything was perfect!,POSITIVE
"We loved it! Especially the personal approach! 2 Mikes are great! They are super friendly, helpful, funny and amazing people! We can highly recommend 2 Mikes as a stay during a trip to Dublin!
Very delicious breakfast, clean room and cozy atmosphere! We will definitely come back!",POSITIVE
Car park tight spaces but got one so happy with that.,POSITIVE
"Michael and Mike are very kind and super hosts, they are very welcoming and happy to help. We had a great stay with Michael and Mike. The house is in a very quiet neighborhood but the center of Dublin is not far away. There are bus stops close to the house.  The breakfast is very good and in your room you have water, lemonade, tea, coffee , biscuits available.The rooms are charming and beautifully decorated and very clean.We know where to stay when going to Dublin!",POSITIVE
"All was perfect, nothing to mention here.",POSITIVE
"Mike & Michaelâ€™s home was the best place to stay to explore Dublin. The room was perfect- it had everything we needed and more including a snack selection and a complimentary bottle of fizz for new years, which was a lovely touch. 
The Homestay is very well connected to the city centre and the airport via public transport and we were given very helpful instructions from the airport. 
Throughout our stay, Mike & Michael were generous with their time and recommendations of pubs, restaurants & Dublin attractions. We also loved meeting Buttons & Twix! 
Thank you again for everything - our experience at your Homestay was a big part of why we had such a great time in Dublin!",POSITIVE
Price for the room was respectable for the location. Friendly staff and a quick check in.,POSITIVE
Check out is a bit early at 10.30am and checking in isn't possible before,NEGATIVE
The location is amazing. The staff is also nice.,POSITIVE
Itâ€™s very old and needs a renovation. The bathroom was moldy. If you need something cheap in the city center this works,NEGATIVE
First experience in a hostel. excelente private bathroom and location if you are interested in the Temple Bar area. 6.5/10 for confort and the fact that you need to place ur own bed lining. But the duvet was warm and room was always at the perfect temperature for a freezing weather outside. Summarizingâ€¦ itâ€™s not a hotel but worth what u pay for.,POSITIVE
Maybe the cleannessâ€¦ not bad cause the sheets were smelling nice but there were hairs around the sheets or floors. Also keep in mind itâ€™s next to a club so donâ€™t forget earplugs for a better sleep.,NEGATIVE
"Location, hospitality and friendliness at the reception, ready to help, nice kitchen, clean and cosy rooms, heating, the luggage room",POSITIVE
The rooms are really clean and the facilities are excellent.,POSITIVE
"There is no elevator. 
So if you have lot of bags, you might have some trouble carrying the bags up.",POSITIVE
The room was clean and tidy. The entrance instructions were very clear. It was only a 20 minute walk into the city centre.,POSITIVE
"There was no staff onsite so although they offered the facility to store luggage when we arrived, we couldn't because there was nobody to pay.",NEGATIVE
It was not very clean and during the night a green light so it was difficult to sleep with the light.,NEGATIVE
"We liked the location, the noise does not disturb you from the outside.",POSITIVE
The bathroom was not as clean as it could be. Be careful when leaving your food in common fridges. It can be stolen.,NEGATIVE
"Small, pretty basic room with no TV but was 
clean & comfortable!",POSITIVE
check in was very smooth. friendly lounge. excellent facilities. 10/10,POSITIVE
"Location. Very tense. Enormously under the spell of...? 
Hostel cleaners. rude. no manners. arrogant. boorish. very inexperienced. reluctant to be decent.  A lot of dirty looks. staring. abilty to be very very hostile. totally unwelcoming. arrogant. imperious. bad attitude. negative. judgemental.",NEGATIVE
"Location was really good, closeby to public transport and the mail streets. Room was nice and clean, nice little own bathroom with okay shower.",POSITIVE
There was a lot of noise and smells and warmth coming from the restaurant below us right in our room untill 3 at night. The entire room smelled like fastfood and was either really warm with the windows closed or really loud noises from the air ventilation from the restaurant with the windows open (also when closed it was loud),NEGATIVE
Mattresses need to be changed,NEGATIVE
Decent value for 4 lads travelling to Dublin for one night.,POSITIVE
"Lock box access was open to abuse as people seemed to be milling around the property. Rooms were okay, but the shower didn't have any hot water",NEGATIVE
"Had lockers and privacy curtains which were very much appreciated, excellent value for money.",POSITIVE
"Bathrooms were great, apart from a pretty poor shower but it's useable and is a minor point",POSITIVE
Room was clean and building was easy to find. Check in and check out was very easy.,POSITIVE
"location, staff and breakfast",POSITIVE
Beds were extremely uncomfortable.,NEGATIVE
"Well equipped. Great location, in walking distance of what we needed. Very helpful staff.",POSITIVE
"Lovely, clean, good location for olympia theater attendance",POSITIVE
Instructions for parking was poor due to one way street.  Put 80 augustine street into Google map its on the right hand side,NEGATIVE
amazing spacious apartment and well equipped! great staff on duty all the time!,POSITIVE
the fold out bed in the lounge was extremely uncomfortable!and parking closer would have been better..,NEGATIVE
clean and spacious,POSITIVE
nothing,NEGATIVE
The staff were amazing and always so helpful.,POSITIVE
"location
facilities",POSITIVE
fumes from paint and new carpet triggered allergies,NEGATIVE
"Had a lovely weekend away with my sister and Mother visiting from France. The location was perfect to visit Dublin, plenty to do close by and most pubs//restaurants nearby. Safe location.The apartment was cosy, clean and comfortable. Even the sofa bed was good quality.",POSITIVE
"comfortable room with excellent layout, including a full kitchen with oven, cookware, fridge and Nespresso machine.  Bed was acceptable as was the bathroom.",POSITIVE
"After 5 attempts to get the TV internet services active so I could stream Netflix, I gave up.  No one bothered to come to the room to resolve the issue.  Also, there's no phone to reception...so every incident requires a trip downstairs.  And don't expect a full balcony...basically doors to open for fresh air...not a big deal, but some truth in advertising would go a long way.  Lastly, there's no daily housekeeping.  I get that it's a self-contained unit.  However, when I'm paying the same daily rate for 7-nights, as someone that's just staying one night, and the housekeepers clean daily stays, it seems rather cheap.",NEGATIVE
"Great location, 4 min walk to Vicar St. Pub next door and close to city centre",POSITIVE
"Balcony was small, otherwise place was perfect.",POSITIVE
Shower ran out of hot water also insufficient hot water to shaveAs an improvement it would be helpful to add hooks or a hanging rail inside the cupboard in the hall. that way wet coats could be hung up,NEGATIVE
Bus station to the city centre was just outisde the accommodation. A little too far to walk on foot but the public transport is excellent and on point. Room was clean and also the kitchen for breakfast. Highly recommended for a good budget.,POSITIVE
"Great location, friendly helpful staff and the room had everything we needed for our stay.",POSITIVE
Super cozy and clean quiet room i had a vey good night sleep,POSITIVE
"Although no noise reached my room, the guest house is on a trafficky street",NEGATIVE
"it was noisy, since my room faced the street",NEGATIVE
Nothing,NEGATIVE
"The bus stops right outside going to towards city centre and the other way to the airport was ideal, which were only €5.20 for 2 people compared to the taxis which were overly expensive. Although 2 miles from city centre it is ideal as it has pubs and restaurants as well as Lidl and Tesco on the doorstep. Great location",POSITIVE
"Nothing really, it doesn't serve a hot breakfast, but we knew that prior to booking so not a problem.",POSITIVE
"clean room , central location",POSITIVE
on a busy street,POSITIVE
"Small ,compact yet more than comfortable for us to stay and the  bus stop  nearby made our travel easy.
Overall we loved our stay here.",POSITIVE
"I had a TV ,a comfortable bed, plenty of hot water and good heatingin the room.",POSITIVE
"Staff, facilities, front desk , room all first class.",POSITIVE
"Room was in the attic..Apex or triangular shaped.
Could not lock the door in my room. Anyone could walk in anytime.",NEGATIVE
Clean and comfortable quiet ensuite bedroom. Use of the sitting room which had tea and coffee facilities. The B,POSITIVE
the property was in a good access point to the river and not far from the main points of interest. there were some initial issues with the heating and hot water but the manager completely took care of it within 24 hours which I was very pleased about.,POSITIVE
"Outside noises were loud, people yelling and singing all throughout the night. the widows are just too thin to insulate noise and weather. also the door slamming downstairs was so loud to us as well (1st floor). maybe there can be something done to insulate the windows and to slow does the front door from slamming.",NEGATIVE
Beds were comfortable. Clean. Very warm. Relatively quiet. Excellent location.,POSITIVE
Shower was a bit unpredictable. Had to learn about Irish immersion water heaters. An interesting concept. Bit confusing as to entering   apartment.,NEGATIVE
"amazing location, very spacious and modern",POSITIVE
there was a building site that started early in the morning so a tad noisy.,NEGATIVE
"The location of this property is great, very near the Temple Bar area and the town centre itself, but still quiet enough. Apartment was warm, and clean.",POSITIVE
"The lighting in the apartment was bad, No mirror in the bedroom, Hairdryer was broken, No normal TV, No batteries in remote, shower head chest height-broken, 4 odd mugs in the cupboard, expectations on photos not met, need a bit of TLC and attention to detail.",NEGATIVE
Couldnt fault anything.,POSITIVE
"Good location, short walk to most places, spacious, clean.",POSITIVE
"bed wasn’t the best, can be rather noisy on the side street with late passer-by’s.",NEGATIVE
location was great!,POSITIVE
WiFi instructions in binder were wrong; had to figure out how to connect by looking at the router.,NEGATIVE
"I liked that the location was very close to the center of the city and a short walk many tourist attractions and bars/restaurants. Our host was also very responsive and accommodating, especially with allowing us to drop our luggage off early before check-in. The apartment was very clean and quite comfortable, and had everything we needed.",POSITIVE
"The ""look"" of the apartment was not the most stylish, and a couple small things (including the lock on the bathroom door) were broken. The street the apartment also seemed to be the go-to destination for drunk tourists/locals to urinate on the walls, so the smell going in and out the front door wasn't great. The price was a bit more expensive than I think it ought to be, but then again, I booked late so can't complain too much about the places that were still available. The apartment served the purposes of me and my group and we still felt safe and comfortable in the space.",NEGATIVE
The apartment is inside the city center! The total room was OK and generally we had no problems during our accommodation.  Finally UT is very well equipped.,POSITIVE
"Very spacious, comfortable beds, extremely clean.",POSITIVE
Occasionally smelled cigarette smoke from another unit that is occupied by full time tenants.,NEGATIVE
"lovely decor and was nice and warm. The bar staff were really friendly, the restaurant served great food and the hotel was in a decent location.",POSITIVE
confusion around how we got into property and how we locked up after,NEGATIVE
"Great location, absolutely spotless and very modern. Everything you need in the apartment, very close to shops and pubs.",POSITIVE
"They donâ€™t have a life so you have to walk up a few flights of stairs with cases & bags etc but donâ€™t let it put you off, itâ€™s well worth it!",POSITIVE
"Clean linen and spare blankets , pillows and duvet if needed . Amazing location .central to everything abs our host gave tourist recommendations which we took up and thoroughly enjoyed . Check out was easy and great communication with host during our stay . Excellent would recommend Celtic nights abs the vintage tea on the bus - marvelous",POSITIVE
We could not access live tv but that could have been our inability to work the controls . We could not find a plug so washed our dishes in the large saucepan . We could have contacted host about these issues but for us they did not really impair the quality of our stay . We just made do with a smile ðŸ˜ƒ,NEGATIVE
"Very nice, clean and aromatic apartment in a good location.
The windows are beautiful and big sash windows",POSITIVE
