,review
693,"Welcoming with warm drink made us feel very welcome. Fulfilling breakfast with exceptional variations. Also, very friendly service."
694,I didn't care that windows can't be open. It was a downside.
695,Room was a bit cold for our likening. There was no toilet brush.
696,"Homely, welcoming feel & I loved the fresh lilies!"
697,I would prefer more eco-friendly products & fresh milk in a small jug as opposed to plastic pots. Reduce waste.
698,The Aberdeen Lodge was perfectly located close to the Dart to easily access Dublin and other nearby neighborhoods.
699,"Nothing, Ann and Pat were lovely and I adored my stay here."
700,"Aberdeen Lodge is a charming place in the beautiful residential area of Sandymouth very close and very well connected to downtown. The environment, familiar and full of charm, offers all the services for a wonderful stay, including a truly unmissable à la carte breakfast. The rooms are super comfortable and cosy and the staff are really nice and helpful. Special thanks to Pat for his support and really invaluable help. We hope to see you again in the beautiful Dublin soon!"
701,Nothing
702,"A beautiful property in a lovely borough of Dublin. The furnishings are comfortable and fit the character of the property. Breakfasts are exceptional. Super helpful and friendly staff, and the family who run the lodge are gracious and also helpful. I felt very at home in my cozy room and with the resident pets, Robin, Sandy, and Coco."
703,"Our hosts were helpful, friendly and exceptionally nice!  Breakfasts were fabulous.  The owners gave us helpful suggestions on how to tour the city. We got necessary wake up calls and they called taxis for us as needed.  The two golden retriever ""greeters"" were sweet friendly dogs and we posted their photos on Facebook.  I'd recommend this nice B&B to anyone visiting Dublin.  Sincerely,Mike & Nancy Branigan"
704,"Everything was perfect , the best breakfast i have ever had."
705,everything was great
706,nothing
707,Location just outside the city.  Parking on site.  Great staff and wonderful breakfast.  Warm welcome.  Loved petting the goldens!
708,"Only negative if I had to say would be the bathroom needs a little attention around the tub molding.  Not a deal breaker as everyone deals with keeping caulking white.  Bathroom was very clean.  Another concern as with other places we have stayed, was hot and cold water pours into sink or tub separately.  Quick fix was to draw the bath prior to entering tub to avoid risk for scalding from hot water spout.  Note this is not a complaint, merely a caution as we found very common in Ireland.   
Note:  Would not recommend for persons with mobility issues due to need to climb multiple stairs."
709,"The hotel itself was extremely comfortable, the rooms were lovely and spacious. the staff could not have been more pleasant and helpful. thoroughly enjoyed my stay. Breakfast was wonderful."
710,"super comfortable beds, staff are so friendly and helpful"
711,nothing
712,lovely location and lovely interiors
713,room was a little small
714,Great hotel - Perfect location and accomodation.Excellent Reception staff at the door and the front deskVery friendly and welcoming staff at the Atrium - lovely location
715,"For a five star hotel breakfast was poor !The food was not hot and the coffee was incredibly diluted and substandard.The seating arrangements were too narrow and guests kept knocking tables spilling milk, etc.The lady seating guests at breakfast was not very welcoming and lacked patience in contrast to all other staff"
716,The staff at reception couldn't be nicer. Sofia got us early checking for our triple room which was lovely. Very spacious. On our return that evening after attending a show Jesus very kindly upgraded our double to a fabulous newly renovated room!! Thank you Jesus!!Breakfast was really great with everything for everyone and lovely staff who went out of their way to puree porridge for one of us with a health problem.
717,very central .  close to all amenities!
718,"great staff, location, clean rooms"
719,the room was too hot and heavy blankets for October weather.
720,"Amazing location to explore Dublin, beautiful room with a view of Trinity, very grand and majestic decor."
721,"Although we upgraded our room, it was still not very large (but still beautifully decorated.)"
722,"Perfect location, so central. 
Beautiful building. Staff very nice 
and helpful."
723,Nothing
724,Great location. Great concierge service.
725,Noise most of the night from across the street!
726,location
727,"Simple, clean, spacious, nice bathroom."
728,guitarist in bar much much too loud!!
729,Great Bar area and dining room
730,"friendly staff, extremely clean, very comfortable room"
731,everything
732,"Everything was perfect from the time we arrived until we checked out, staff could not have been more helpful, friendly and professional, food was excellent and room was perfect, we will stay again."
733,Comfortable rooms. Good housekeeping and maintenance . Very friendly staff particularly front desk staff
734,"The location of the property is fantastic, right in the thick of it, and perfect for exploring all that Dublin has to offer. The price was also fairly reasonable. One half of the building (where Reception is located) is really beautiful, and a nice place to grab a drink and a bite to eat."
735,breakfast is ordinary and can be better for a luxury chain
736,friendly and professional staff. spacious and well appointed bedroom. great bar
737,gym could do with a bench press and ladies sauna could do with a bit of repair to the upper bench.
738,"Resignation, pocket and happiness were all good and wonderful"
739,Everything is beautiful
740,Found our room cold
741,"The staff was very engaged. Everyone from the reception to the restaurant and the floor attendants was very friendly. I had indicated during the booking that it was our anniversary, so they left chocolates in the room for us, and we were very happy. Restaurant food was amazing. I would love to go again."
742,"The only problem was that the room was so hot, we couldn't control the temperature. The bed was very comfortable but the sheets were burning. In general, everything was very good."
743,"everything was very modern and new.  rooms very secure.  robbery of rooms nearly impossible. i had a comfy en suite single and paid only $75 per nite.  cheap by dublin standards.  while most of the clientele are young, nights were very quiet.  its not in the city center but walking not too far or can use the frequent bus service with stops 3 minutes walk away.  the communal kitchens were pretty well equipped to cook simple meals or use microwave for frozen meals.  super market and convenience stores only 5 minute walk. had large fridge.  kitchen was always spotless.   nice gastropub adjacent to property."
744,there was a lot of new highrise construction in the area.  so location not quaint.
745,"The layout of the hotel is a little odd. There is one really lovely half and one NOT so lovely half. Unfortunately, our room was at the very bottom of the not so lovely half. The room itself was okay, although the toilet struggled to flush and the shower bowl filled up with water quickly. We completely understand that the hotel bar gets busy at night, and to be honest we weren't really bothered by that, especially given the hotel's advance warning and other reviews. BUT the noise of doors clanging and footsteps above us both kept us up at night and woke us up in the morning, and that really wasn't acceptable."
746,"Good location, good staff, room is clean and have some good restaurant nearby"
747,"washing machine is hard to use, and I lost my two coats:("
748,"Stayed here twice, each time had different issues..Blinds broken, bed broken, shower not working,...I get that it is student accommodation.."
749,"Position is great, staff super friendly and kind, security is good. Room clean and nice, shower perfect. Kitchen clean and a lot of different activities in the shared room such as ping pong table and chilling area."
750,"we were 2 friends and the bed was a bit 2 little for the 2 of us, the room was advertised for 2 people, but the bed was actually pretty small for the 2 of us. Besides that everything is great!"
751,"Affordable , good location"
752,Bed wasn't a standard double bed
753,"The ""student"" room had not been lived in in months, and was covered everywhere in dust."
754,"Security, and low-key management approach."
755,"comfortable , good location,"
756,"It was quite and peaceful, comfortable bed and very nice and spacious ."
757,"The fridge had a very unpleasant smell, we didn’t end up using it ."
758,"I loved the location. Really safe and cool neighborhood. It's also a short walk to the center of the city.  I stayed here to attend an event at Trinity College Dublin, and I adored the walk to Trinity. Lovely cafes along the way. Very walkable location. I really liked the courtyard."
759,"The kitchen lacked some materials to make cooking convenient. Some facilities, like the kitchen and other (indoor) common areas were a little dirty. Our shower had a little mold, too. Nothing that was a deal breaker. I look back on my 2-week stay at Destiny Student - New Mill with fond memories."
760,Friendly and helpful staff
761,"It was quite far from the city centre
The shower wasn't very hot/powerful
Lots of the light switches in the room didn't work"
762,Only the location.
763,The fact the room was not cleaned or prepared properly. It was very small and uncomfortable with poor ventilation.
764,"It was tidy and clean, enough space and an own bathroom"
765,the bed is a bit small (but they informed us about this in advance)
766,Nice room and is clean.
767,best value n location. staff is great also
768,bed is a little too small for couples
769,Location
770,"We got only one room key fob which was a problem as we had a baby with us and I’d need to go to the room before my partner. When we asked about it at reception they said they can’t program another key, that the owner doesn’t want to spend money on it as it’s a single student room during the academic year. The thing is they charge over 200€ per night so for that price we should be getting what we paid for. There is one kitchen for 4 rooms but only 2 cups, 2 plates and two spoons, forks, etc, ridiculous. We chose this place because it said it has fully equipped kitchen (we needed some stuff for the baby) but kitchen was barely empty and there was no soap to wash the dishes."
771,"clean, not many amenities, small bed , basic, but that what is advertised as student so you get what you pay It seemed expensive but Dublin hotel prices at the time were way higher so in that sense good value"
772,room a little small
773,"Able to walk to St Patrick’s, Trinity College, pubs, shopping, St Stephens Green, and more!"
774,"A bit hot and stuffy with window closed, but too noisy with window open."
775,The room was clean and spacious.
776,Location
777,"Towels had to be Rented
No Travel Supplies in rooms, toothpaste etc,"
778,"The room was clean and everything was functional and useful. The room is a standard student accommodation, not too big, but good enough for 2 people for one or 2 nights. Dublin is not that big and from the city centres you could walk for 15 minutes to the accommodation."
779,"Unfortunately the prices are ridiculous in Dublin regarding the accommodation, but the check-in and check-out hours are unpleasant for this accommodation in particular. If you do such a late check-in, the check-out should be at least 11pm. Unfortunately you also have to pay 5 euro for luggage storage, for a few hours."
780,rooms clean and tidy and nice modern Decor and complimentary tea and coffee which was a nice touch
781,"the noise on the street was VERY loud and i couldnt sleep either night , when you do drop off people are up and slamming the doors really early the doors are really loud when they close i had a complete lack of sleep which was impacting the fun i could have around dublin £20 deposit o my my card for a minature fan the beds are really small as a double this is explained but combined with heat and very noisy rooms was quite stressful"
782,"Perfectly clean, cousy, very friendly owners and staff. Far above 2 stars. The room was big enough, warm, well lighted, plenty of mirrors, comfortable beds. Verry happy with our stay."
783,The stuff is so polite and nice people. The room is very good with big window and clean. Everything was nice!
784,"It is 20 min (walking) far from the old town, but that's not a problem if you want to walk a bit more."
785,There was a construction going on beside our room at 6am that woke us up very early then the smell of the paint reeked in the room. It was giving us headache. Complained to the front desk and all they said is that they are aware of the situation.
786,Very nice people....they gave us all the information required
787,"very clean, good location and the staff were so friendly really made our stay nicer!"
788,The staff was super kind and ready to satisfy every request. The room was clean and spacefull as well as the bathroom and the position was perfect to reach the city center.
789,"the location were great, close to
the main attractions."
790,"The price was a bit expensive, but I think it’s the same in all Ireland!"
791,"Beautifully clean and comfortable, tastefully decorated and well maintained. Complimentary bittled water always available and the staff could not have been more helpful or pleasant. Wonderful situation just a short walk from O'Connell Street."
792,"There was nothing we didn't like, but next time we'll bring a travel kettle and sime tea bags so we can have a hot drink in the room."
793,"Very friendly personal, clean no-frills room. Excellent bed mattress, great location to explore Dublin... All main attractions plus pubs, restaurants, cafes are within easy walk to reach. 
*** All around the country the sockets are U.K. style, bring an adaptor along to avoid xtra costs! Most of the accommodations sockets have also a USB port but not all devices (i.e. some Apple devices) can be recharged directly via USB"
794,"Room n bathroom too small! The shower cabin and sink are really petit!
Overpriced for what one gets but then again this is Ireland and in general expensive times we are going through..."
795,The staff were very friendly and the room was nice and clean and spacious.
796,"Very clean, rooms were great and staff very friendly"
797,Nothing
798,"Wonderful helpful friendly staff, really made you feel welcome.The room was very clean and the bed was super comfortable.The location was great and very close to O'Connell St, really good for shopping and sight seeing."
799,"Could do with a small tea/coffee tray in the room , they do offer hot drinks but you have to ask in reception , were as i would rather of made my own in the comfort of my room in the morning, saying that there is a really good coffee shop across the road open from 7am called Koffee & Kale, which made really good breakfasts and coffees."
800,There are no comments available for this review
801,Host was contactable and easy to chat to. Very accommodating.
802,Apartment is a little small as only one bedroom. The three double beds are in the lounge which can be uncomfortable. It means packing away each day if you are wanting to sit and chill. If your out and about then it’s perfect.
803,"Location was great. Fantastic breakfast in the wooden whisk.
Kevin was very accommodating. Very quick to reply.
Lovely city break."
804,"Sadly all six of us every morning had luke warm  showers. 
As 6 people are expected to all sleep in the lounge area on the sofa beds you would think a mirror could be provided."
805,"A group of younger ones were very loud, fire alarm went off durung the night"
806,There are no comments available for this review
807,"The hotel was basic but clean, 
The staff were very friendly and extremely helpful answering all questions asked."
808,I think Tea and coffee making facilities in the room would be a welcomed addition
809,"Clean, nice staff, nice position"
810,"No hairdryer, no wardrobe in the room"
811,cleanliness
812,Hairdryer useless. Would take a day to dry hair. No apology from girls in bar when given wrong change and slapped the drink onto bar afterwards. Very poor.
813,The staff were brilliant helpful and so welcoming
814,very small room
815,"Great Staff, very clean all new rooms"
816,"location was great
easy access 
felt new
heating system was great tech with lots of options 
nice bathroom 
good size bed"
817,"only got 1 towel between 2 of us 
only got 1 pillow each
bed was quite hard 
small room"
818,Clean and modern. Friendly & helpful staff
819,"Bed was rock hard and uncomfortable, pillows uncomfortable also."
820,the staff member were really friendly and the the room were also very proper. a very quite place
821,The staff was very friendly and the hotel is very new.
822,The room was very small.
823,The location was perfect! Everything close by
824,They went out of there way to accommodate us
825,"excellent value and location 
rooms are small but fine for short stay"
826,Comfy room for a short stay. We liked that we had access to the laundry room and gym. Good accommodation for a few nights in Dublin.
827,"The door in the hallway was very noisy when people opened and closed it in the middle of the night. And the seagulls were very noisy outside as well! Other than that, everything was great."
828,"Great location, the luas is right next to it so it’s very easy to get into the city. Room was clean and modern"
829,Room was very very small. It was okay because it was just myself but I think a couple would feel very cramped. I couldn’t change the AC so the room got very hot at times.
830,Clean and good amenities
831,"windows could barely be opened , was really hot, since i visited in the summer"
832,The room was a good size had everything you need and was an easy walk to everything I needed
833,Mattress was rock hard
834,The manager would not give another blanket or towel and was rude about it
835,Shower temperature has a mind of its own
836,The cleanliness was amazing. Facilities were brilliant
837,Bed was too hard and the noise was crazy
838,"Most things, location  , staff  facilities all great"
839,"Beds, or st least the one I was in was pretty poor. Seriously old and outdated mattress,  springs poking you in the back"
840,just a minute from the tram into the city & the accommodation was new & clean & came with a great kitchen and lounge
841,"It's right on the tram stop.
The kitchen was spotless 
The cinema room was massive and easy to book internet was temperamental at first but you could log in to Netflix Disney etc
Pool table, ping pong and gym good to go back early with my daughter"
842,Would have been better with 2 single beds
843,en-suite was great as was the room
844,nothing!
845,"The location is perfect and the food is absolutely delicious….
As a person who uses a walker the facilities are most suitable…
With a Luas stop right outside it’s ideal to meet up with family and friends…"
846,"The first place was very clean. Also very affordable compared with other similar rentals. The location is very close to central places and streets, about 5-10 minutes walk."
847,"The area is not perfect, but is not bad"
848,"Loved how all of the rooms were linked together, loved the price and location x"
849,Shower was cold
850,Big patch of mould on the ceiling
851,location
852,there is no reception and no one to speak.
853,The Beds
854,"Nice location, and quiet building.  You have everything you need in the room."
855,"I found the bed very hard and therefore very uncomfortable for me …
Also parking can be very hit and miss"
856,"Shower could use some upgrading - it takes a long time to get some hot water, and when you do, it gets cold pretty quickly."
857,great location
858,"some people were trying to open our door at midnight because the owner of the place told them it was their room too, I’ve never experienced something like that before, the tv didn’t work and pillows and bed were too hard"
859,Location was within 15mins walk to temple bar.
860,"located well, easy access to popular areas, had everything you need like iron, hair dryer, kettle etc"
861,"could of done with some hot drink options, was only provided with one tea bag for the stay unfortunately but not the end of the world"
862,Location is good
863,Beds were uncomfortable.  Not very well signposted. TV had no signal. Was very basic accommodation
864,It had all I need. Everything worked perfectly and the staff were super friendly and helpful.
865,Nothing
866,Everything
867,"Check-in was easy, location was great, staff were superb. Room was clean. Juice and flapjack left by the door on departure was a really nice touch."
868,"Request for a low floor was ignored, room was very small, shower was absolutely useless and the view was a brick wall. However, I didn’t pay a lot, so I wasn’t surprised."
869,Location is closed to the city.  staff is kind.
870,"facilities are old. there was no cold water the first night. and as many other comments, it is very very noisy because of the night club. the club closed at 3:30. do not try to adapt it."
871,"Lovely size room and decor. Good location, very central and handy. Its good value for what you get."
872,The light switch was not inside the door where you would expect so had to use my phone to find it beside the bed. The main light was gone in the bathroom only the over the mirror light was working. Rang reception they were to send up someone that never arrived.
873,Its ideal if you are on a night out in Dublin for somewhere to sleep.
874,"The room was freezing, the window didn't close properly in the bathroom."
875,Noisy because the bar.
876,"Clean, centrally located close to bars, restaurants and tan lines and bus routes. staff were excellent and very welcoming, the hotel itself was lovely and the room a good size. I would stay here again"
877,"great location south west of St Stephen’s Green and within walking distance to it plus Grafton Street, National Concert Hall, etc. Large room with double and single bed and large bathroom with bathtub. The nicest thing was, as last time, they leave a little bag with a juice carton and granary biscuit outside your room door in the morning, bless them!"
878,"as they state on their website/booking website the place has a noisy night club in the basement so there is loud music on Friday night’s til 2am but I knew that from last time and they provide ear plugs should you wish to use them. I don’t mind that type of noise. Room could be warmer, it has two radiators but only one came on intermittently."
879,central and close to the luas line. made it easy to get over to o Connell street
880,"location is great . luas stop right outside , nightclub down stairs staff were lovely"
881,if your not there to party then I would say the noise of the nightclub may be a bit much as we could here it on the second floor quite clearly … the bathroom light also was filled with water from the room above and hanging off the Ceiling which was quite dangerous to say the least
882,Lovely clean smell of room upon arrival. Loved that there were bottles of water in the room and a complimentary bag when leaving the room.
883,Nothing. Great value for money.
884,Everything was great! We enjoy the city so much! The house was cozy and the room too.
885,"Mrs. Elizabeth was friendly, warm and caring.  She cleaned the room meticulously every day and we felt at home there."
886,Liz was very accommodating and super kind. This place has loads of character and a very comfortable bed.
887,"The owner was very friendly,
Late Check In worked perfectly,
Room was decorated very pretty,
Close to the city in quiet neighborhood"
888,"Great host, great place and location and fantastic value for money"
889,A lovely place to stay in a lovely neighbourhood.
890,Acara House is a fantastic accomodation ! Liz is a fantastic hostess. The room was very well equipped and clean. The residential area is very quiet and beautiful. We liked it and have much enjoyed !
891,Liz is a very friendly and nice person. She greeted us warmly and gave us recommendations for the Dublin visit. The room was very good. Comfortable bed and private bathroom. The location of the accommodation is only 10-15min walk from the city.
892,"I stayed at Acara House B&B with my girlfriend for 3 days. Great location (Drumcondra is very close to the city center) and various shops/supermarkets on this area. Mad props to Liz, one of the nicest hosts we’ve met in a while. She was lovely from the very beginning and gave us a warm welcome. Besides, she took the time to describe us every detail in order to make our stay way more enjoyable (and she did!).To sum up, this is a great place to stay if you want to keep yourself away (but not far away) from the city center."
893,"To say something, the bathroom was a bit tiny. Nonetheless, it is nothing you cannot get used to."
894,"Very welcoming and kind host, cutely decorated interior, walking distance from the center."
895,Nothing to complain about
896,"Very big and comfortable appartment, 2 balconies, it was better than we thought, realy recommend! ðŸ’¯"
897,"Quality Bed linen and comfortable beds, the apartment was quite spacious and in a good location."
898,"Phone call from city apartments saying they could no longer arrange a taxi to pick us up from airport at 0045am, told to use public transport with two very young children and luggage!! Fire alarm went off repeatedly between 1am and 2am each night, frightening both adults and children. Substance abuse people using building entrance. Apartment door bell not connected. Apartment floors filthy and dangerous in places. Short on crockery and cutlery. Very disappointed!"
899,"Picked up keys from one location then got terrible directions to our hotel which took us an hour to find.cleaners were still in our room cleaning when we arrived. the hotel is in a very rough area of Dublin, we overlooked graffiti on shop roller doors and rough buildings. we would get charged if we used over our power allowance which we didn't know what it was !!!!. felt really unsafe in the neighborhood where hotel was located and we were two guys from south Auckland in NZ so nothing should of worried us but this place did."
900,"Prime location, supermarket downstairs"
901,"it was great value for money and well located
The property was very ideal for a group and spacious"
902,There was quite a lot of wear and tear around the apartment and we had to clean the bathrooms as they had strong smells in them
903,Turn d up to book in & property wasnâ€™t available. This ruined our trip to Dublin & left us walking the streets of Dublin until our flight the next day!
904,Really lovely staff all round. The location is excellent.
905,very quiet but close to city centre
906,Leaving!
907,Good location and value for the price you pay if you are the family or group of people 4-5. Communication with the host was very good.
908,Some of the appliances and furniture are a bit worn out.
909,"The flat was very well equipped, clean and spacious in a convenient location."
910,"As with everywhere in Dublin, its just so expensive! We were lucky to find this stay at a discounted rate but it was still £400 over the budget work had given for each of us.
But I don't think affordable accommodation exists in Dublin City Centre, so we were at least happy that the flat was nice."
911,"location was great , condo was neat clean and had everything you needed for stay in Dublin 
there were 2 bedrooms with nice comfortable beds 
kitchen was modern and had everything you need for longer stay , combination washer - dryer made  was availible to clean clothes 
living room had 2 nice sofas with large coffee table , 
nice television . 
there was kitchen table with four chairs and large window to look out over inner courtyard , also there was a outside balancing with chairs 
the condo is located in nice area - dock lands is the name of the area , there are numerous restaurants with 50-100 yards , the are 3 smaller grocery - convenience stores as well
the Spencer hotel is in the building next door and they have a nice bar . beat of all there is light rail stop just few steps outside the condo
definitely use the LT rail  to get around in city 
overall great value , great condo in great location"
912,location and decor exceptional
913,"everything was good 
no complaints"
914,"Spacious rooms
Washing machine
Well equipt kitchen
Great location"
915,"No hair dryer 
Uncomfortable, squeeky beds
No room to leave luggage after check-out
Strict rules"
916,"The host was great, very friendly and organised. The flat was very clean. Excellent location. Great facilities. Nice, quiet and secure. Really a shame about the beds as thoroughly enjoyed every other aspect and if the beds are changed we would definitely stay again"
917,"Both beds are super noisy, even with just a 9 year old sleeping on one, the creaky noises could be heard at every turn. The boiler also makes a lot of noise but this would not have bothered us so much."
918,I liked everything it was perfect location very friendly approach from the staff. Very easy check in and check out very very  satisfied.
919,Not much to be honest very pleased.
920,"Location, quiet block, food options (restaurants and supermarkets)"
921,No curtains in the sitting room
922,"Excellent apartment, comfortable and close to the city center. Cozy and with all the necessary tools. Nearby there were both grocery stores and bus stops, really a good location"
923,breakfast fell short of everything else
924,"The location of this property is convenient and lots of things you would want are literally outside the door, including a Luis stop, SPAR, Marks & Sparks food, ATM, etc.    The apartment itself is pretty good."
925,"The biggest challenge was the furniture.  Beds were great, but furniture in shared living area was not.  It has two couches.  Both are so low to the ground that it is hard to get off and onto them.  The first couch is literally broken and had a piece of 2x4 holding it up.  The second is newer and in better shape, but still extremely low to the ground.  The apartment was missing some basics that I would expect - parring knife, a functional bread knife (we had one but too dull to cut bread).  The frying pans were old teflon with lots of scratches.  I wouldn't and didn't use them.  Outside of not delivering key information until two days before arrival, our contact person was good, very nice and responsive to concerns we had about a breaker for the bathroom lights that was tripping on a regular basis.  However, there is only so far a good host can go when the furniture is uncomfortable."
926,Good location. The manage did his best to fix the kitchen tap that was broken.
927,"The couch was broken and the bed in one room was uncomfortable, made a terrible noise when you sat on it and annoying when you were sleeping."
928,convenient. friendly and welcoming
929,very small room but cosy and clean
930,"Nice room, comfy bed, decent shower. 15 minute walk into centre of Dublin. Good pub downstairs!"
931,"Very nice and helpful staff, the pub downstairs is great for a late night beer and the location is great, as it is within a 15 minute walk to the center"
932,Small bed and stairs too steep
933,"Staff were so friendly and helpful. Good location, short easy walk into city centre."
934,Bar food was excellent. Room was small for 3 but very clean and warm
935,No breakfastWe knew this
936,More hooks in bathroom
937,"Location clean 
The guy that booked us in was so friendly"
938,"There was nothing we didn't like
Breakfast would have been a nice add on but wouldn't stop us going back"
939,"Clean and comfortable, no bells and whistles and above a lovely pub. Staff were fantastic and bent over backwards to help us"
940,Nothing
941,Excellent location yet quiet at night. Fantastic staff who went out of their way to make us feel welcome. Incredible value for the price.
942,Lovely clean and comfortable room. Good heating so was nice and warm. The shower is lovely. The staff member carried my bags to my room and made conversation which was super nice.
943,"Arrived early to drop off my bags and the place was completely locked up. I rang the number on the door sign that said ""ring this number if you want to drop off your bags early"" and it was invalid which was really annoying, and concerning that you can't even gain access to the hotel at all before 3pm."
944,There was only lukewarm water in the shower no matter what way we turned the dials
945,"the large room, high ceilings and big windows that opened."
946,"coffee machine was great but was not monitored or refreshed. twice I asked for milk and had to ask to have the grinds removed- it’s a lovely touch, but only if it is usable."
947,"Booked a single room for a 2 night stay. It was clean and warm, bed was very comfortable. Bathroom was clean and modern, shower had hot water when needed"
948,"Walls are very thin, you can hear almost everything from outside the door or from the next room."
949,room was clean and good location
950,quite old fashioned and some of the reception staff weren’t very friendly
951,"Everything was alright, but flush in the toilet did not work"
952,"I liked the easy check in, even before 14:00.The room was also very nice. Was what we expected."
953,The windows could be improved. It felt like they were open when they weren't (sound)
954,close to temple street hospital and also private parking.
955,"great location, friendly and helpful staff"
956,"very very warm, window was open all night and fan was going all night. radiators weren’t even on."
957,"overall very nice place and enjoyable stay, the location is pretty good for walking to the O’Connell St area of theatres and shops etc, check in very nice and the room had everything you need! it’s a quiet area."
958,"the room is quite small but then it’s a single room, bathroom good size. There could be a few more coat hangers in the room."
959,The bed was very comfortable and the room was warm.
960,"Very large room in a delightful grand old townhouse, with high ceilings and decorative furnishings. Deep carpet, comfortable beds, and excellent bathroom facilities. Tea and coffee provided with complimentary biscuits, and friendly staff. The whole family slept very well. Excellent location, about 20-30 minutes walk north of the Ha'penny Bridge and Temple Bar."
961,"The lighting could have been better. There was a single bulb illuminating the centre of the room, and although there were bedside lamps, not all of them worked, and one of the plug sockets (admittedly out of site behind one of the beds) was broken and looked distinctly unsafe. Not everybody wants bright lights of course, but it's nice to have the option.Also, if your curtains are 10 or 12ft high it's quite a good idea to fit some sort of drawstring mechanism. I guess there's probably a knack to it, but this old man actually managed to wrench his shoulder trying to draw them.Also, there is a dining area downstairs, but it's tiny. We brought back a takeaway one night, and I felt like I was eating in a converted closet.Little niggles though, overall it was excellent."
962,Cleaness
963,"radiator wouldn’t turn off - even with window open on our first night the room was roasting, plus traffic noise as a result meant that we had hardly any sleep. maintenance came and turned it off during our second day, but when back in the room it switched itself on again (without any interaction from us). maintenance came back to switch off again later that evening, and it stayed off for the rest of our stay. bulbs out on room too"
964,"great personnel, very nice ppl and helpful"
965,"The Location is perfect to walk,well connected with the most interesting places to visit"
966,"The room is small, without wardrobe, it is fine for a week-end but not for longer stay
The sink in the toilet too small"
967,good location. friendly staff.
968,"Location was perfect, good walking distance to most places. Beds were super comfy :)"
969,"position, clean, warm"
970,Sound insulation is not good enough
971,Great location and lovely staff.
972,"clean, friendly, and central location"
973,"Perhaps needed some more facilities in the bedroom, such as hooks or shelves or sitting areas / chairs."
974,The location
975,Nothing
976,"Great location, comfy beds"
977,"Bathroom extractor fan didnt work, coffee machine kept eating capsules"
978,"the room in attic a bit slanting and not flat, the side table lamp fell down itself midnight."
979,It was so handy. Perfect for both my appointments at the mater
980,Was not mentioned that it was opposite the garden of  rememberance
981,"Amazing, would highly recommend! Perfect for our group of 6. The location was ideal for what we wanted…right in the middle of Temple Bar. It does get loud around this area but for a group of 24 year olds that’s exactly what we wanted so we wasn’t fussed at all. The apartment was extremely clean and had all furnishings needed. Thanks for our stay, we will be back for sure."
982,Nothing :)
983,Great location and very nice hotel.
984,"great location, nice apartment very spacious"
985,"no one’s fault, the street is noisy at night till early hours"
986,"was perfect location, very clean and nice apartment"
987,was a couple things not working and slightly worn but besides that was great
988,"Great central location in temple bar and spacious flat meant for 7 people it was a comfortable stay for 3 nights. Clean and modern facilities with lots of useful things like an iron and hair dryer, and even tea, coffee and milk on arrival!I booked several months ahead and had a few questions and clarifications I wanted from the host during this time. They are very quick to reply, helpful and professional."
989,Not a problem for us but given central location may be noisier for people staying on sofa beds as fronts onto main bar street area. Picking up keys first at different location was a little more work but not hard to find or too far away.
990,"Great location, really in the centre of Temple Bar."
991,"No hot water, it tripped out day 1. It was repaired really quickly but ran out quickly. cold showers for three days."
992,"Fantastic, spacious apartment at the heart of Temple Bar. Walking distance to all the city centre attractions, and bus stops round the corner."
993,"A bit noisy outside the living room, but that’s to be expected staying in such a busy area for bars and restaurants. Noise at night from people coming in and out the building was irritating. Wi-Fi signal needs boosting as it was unreliable did didn’t cover the whole apartment."
994,Excellent staff and facilities
995,"It was central to temple bar, perfect location for all entertainment.
Apartment was spacious and furnished well"
996,Lack of hot water on weds morning
997,The location
998,"Right in the heart of temple bar, huge apartments with big living area and big bedrooms. Very comfortable for a group of 4-6"
999,Very noisy given the location - constant partying and construction in the evenings and mornings. The bathrooms are in need of a refurbishment as they’re worn out and low quality.
1000,Great location roomy and cleanEasy access to most place’s especially temple bar Guinness house was easy to reach also
1001,Little noisy on some nights and the seagulls will drive you mad every morning they wake you up
1002,"The room was spacious and beautifully decorated. All staff were nice . 
We stayed a few nights. One morning we had to leave the hotel at 6am to go on a day trip.They set a breakfast table for us at 5.30 am, including hot coffee. What a wonderful service!"
1003,was spotless and warm. as requested a lovely quiet room on the ground floor. staff were lovely.
1004,"Great breakfast, lovely clean room, friendly and helpful staff"
1005,The wifi was the only problem I kept facing soon as I went to the room the wifi wasnâ€™t good at all. I was in 351 and it was not good
1006,breakfast was a bit cold
1007,"location, spacious triple room"
1008,Nothing it was all great!
1009,"Everything. It is real gem in the middle of Dublin, where so so accommodations are the norm. Finding a place sparkling clean, beautiful, affordable and comfortable place is rare. I hope they keep their standards and prices!!!"
1010,All was perfect.
1011,"The room was cute and quaint. My reservation came with free breakfast which was delicious. The staff was very friendly.  The location was nice as well. Not in the thick of things, but I could easily walk all over Dublin and get to the hot spots within 15 minutes or less."
1012,"The staff were amazing, wonderful welcome upon late checkin, room was small but warm, clean and comfortable, at breakfast (really good) the next morning the staff were making a real effort and I witnessed many moments of kindness by the staff which is so refreshing to see. It made me want to visit again."
1013,Great breakfast. Rooms really comfortable.
1014,"Location
Everything
Breakfast 
Room classical"
1015,Nothing
1016,"Very nice place to stay, good location and tasty breakfast. Recommended!"
1017,"Perfect , staff were very pleasant and helpful. Breakfast was great"
1018,airconditioning made noise throughout the night
1019,"Prices, room size"
